Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
EIF2AK2	"Interferon-induced, double-stranded RNA-activated protein kinase "	"PKR PPP1R83"	5610	19106	54287
EIF3K	"Eukaryotic translation initiation factor 3 subunit K "	"PRO1474 HSPC029 PTD001 PLAC-24 M9 ARG134"	27335		
Eif4a3	"Eukaryotic initiation factor 4A-III "	-		192170	688288
ELANE	"Neutrophil elastase "	"NE HNE HLE PMN-E"	1991	50701	299606
ELF1	"ETS-related transcription factor Elf-1 "	-	1997	13709	85424
ELF2	"ETS-related transcription factor Elf-2 "	"EU32 NERF NERF-2 NERF-1A NERF-1B"	1998	69257	361944
ELF3	"ETS-related transcription factor Elf-3 "	"EPR-1 ESE-1 ERT"	1999	13710	304815
ELF4	"ETS-related transcription factor Elf-4 "	"MEF ELFR"	2000	56501	302811
ELF5	"ETS-related transcription factor Elf-5 "	-	2001	13711	366142
ELK1	"ETS domain-containing protein Elk-1"	-	2002	13712	314436
ELK3	"ETS domain-containing protein Elk-3 "	"ERP NET SAP2"	2004	13713	362871
ELK4	"ETS domain-containing protein Elk-4 "	SAP1	2005	13714	304786
ELL	"RNA polymerase II elongation factor ELL "	"Men ELL1 PPP1R68"	8178	13716	306347
ELL2	"RNA polymerase II elongation factor ELL2"	MRCCAT1	22936	192657	309918
ELL3	"RNA polymerase II elongation factor ELL3"	FLJ22637	80237	269344	296102
Elob	"Elongin-B "	-		67673	81807
ELOB	"Elongin-B "	SIII	6923		
ELOC	"Elongin-C "	SIII	6921	67923	64525
ELOF1	"Transcription elongation factor 1 homolog"	"MGC4549 ELF1"	84337		
ELP1	"Elongator complex protein 1 "	"IKAP TOT1 IKI3"	8518	230233	140934
ELP2	"Elongator complex protein 2 "	"FLJ10879 StIP"	55250	58523	307545
ELP3	"Elongator complex protein 3 "	"FLJ10422 KAT9"	55140	74195	100362548
Elp4	"Elongator complex protein 4 "	-		77766	687694
ELP4	"Elongator complex protein 4 "	PAXNEB	26610		
EME2	"Probable crossover junction endonuclease EME2 "	"FLJ00151 SLX2B"	197342		
EMSY	"BRCA2-interacting transcriptional repressor EMSY"	-	56946	233545	361607
EMX1	"Homeobox protein EMX1 "	-	2016	13796	500235
EMX2	"Homeobox protein EMX2 "	-	2018	13796	500235
EN1	"Homeobox protein engrailed-1 "	-	2019	13798	685360
EN2	"Homeobox protein engrailed-2 "	-	2020	13798	685360
ENC1	"Ectoderm-neural cortex protein 1 "	"PIG10 ENC-1 TP53I10 KLHL37"	8507		
ENG	"Endoglin "	"END HHT1 CD105"	2022	13805	497010
ENO1	"Alpha-enolase "	"PPH MBP-1"	2023	13806	24333
ENY2	"Transcription and mRNA export factor ENY2 "	"DC6 FLJ20480 Sus1"	56943	223527	685258
EOMES	"Eomesodermin homolog "	TBR2	8320	13813	316052
EP300	"Histone acetyltransferase p300 "	"p300 KAT3B"	2033	328572	
EP400	"E1A-binding protein p400 "	"CAGH32 KIAA1498 P400 KIAA1818 DKFZP434I225"	57634	75560	304569
EPAS1	"Endothelial PAS domain-containing protein 1 "	"MOP2 PASD2 HIF2A HLF bHLHe73"	2034	13819	29452
EPC1	"Enhancer of polycomb homolog 1"	Epl1	80314	13831	100362678
EPC2	"Enhancer of polycomb homolog 2 "	DKFZP566F2124	26122	227867	362132
ERBB2	"Receptor tyrosine-protein kinase erbB-2 "	"NEU HER-2 CD340 HER2 c-ERB2 c-ERB-2 MLN-19 p185(erbB2)"	2064	13866	24337
ERBB4	"Receptor tyrosine-protein kinase erbB-4 "	"ALS19 HER4"	2066	13869	59323
ERBIN	"Erbin "	LAP2	55914	59079	365661
ERCC2	"General transcription and DNA repair factor IIH helicase subunit XPD "	"MAG EM9 MGC102762 MGC126218 MGC126219"	2068	13871	308415
ERCC3	"General transcription and DNA repair factor IIH helicase subunit XPB "	"XPB BTF2 RAD25 Ssl2"	2071	13872	291703
ERCC6	"Chimeric ERCC6-PGBD3 protein "	"CSB RAD26 ARMD5"	2074	319955	306274
ERF	"ETS domain-containing transcription factor ERF "	"PE-2 PE2"	2077	13875	292721
ERFL	"ETS domain-containing transcription factor ERF-like "	erfl1	390937		
ERG	"Transcriptional regulator ERG "	"erg-3 p55"	2078	13876	170909
ERN1	"Serine/threonine-protein kinase/endoribonuclease IRE1 "	"IRE1 IRE1P"	2081	78943	498013
ESF1	"ESF1 homolog "	bA526K24.1	51575	66580	366203
ESR1	"Estrogen receptor "	"NR3A1 Era ER-alpha"	2099	24890	13982
ESR2	"Estrogen receptor beta "	"NR3A2 Erb ER-beta"	2100	13983	25149
ESRRA	"Steroid hormone receptor ERR1 "	"ERR1 ERRalpha NR3B1 ERRa"	2101	26379	293701
ESRRB	"Steroid hormone receptor ERR2 "	"ERR2 ERRbeta NR3B2 ERRb"	2103	26380	299210
ESRRG	"Estrogen-related receptor gamma "	"NR3B3 ERRg ERR-gamma"	2104	26381	360896
ESX1	"Homeobox protein ESX1 "	ESXR1	80712	13984	
ETS1	"Protein C-ets-1 "	"FLJ10768 ETS-1"	2113	23871	24356
ETS2	"Protein C-ets-2"	-	2114	23872	304063
ETV1	"ETS translocation variant 1 "	ER81	2115	14009	362733
ETV2	"ETS translocation variant 2 "	ER71	2116	14008	361544
ETV3	"ETS translocation variant 3 "	PE-1	2117	27049	295297
ETV3L	"ETS translocation variant 3-like protein"	FLJ16478	440695		499651
ETV4	"ETS translocation variant 4 "	"E1A-F E1AF PEA3"	2118	18612	360635
ETV5	"ETS translocation variant 5 "	ERM	2119	104156	303828
ETV6	"Transcription factor ETV6 "	TEL	2120	14011	312777
ETV7	"Transcription factor ETV7 "	"TEL2 TEL-2"	51513		
EVX1	"Homeobox even-skipped homolog protein 1 "	-	2128	14028	103690342
EVX2	"Homeobox even-skipped homolog protein 2 "	-	344191	14029	288155
EWSR1	"RNA-binding protein EWS "	EWS	2130	14030	289752
EXOC2	"Exocyst complex component 2 "	"FLJ11026 Sec5"	55770		
EXOSC9	"Exosome complex component RRP45 "	"PM/Scl-75 Rrp45p RRP45 p5 p6"	5393	50911	294975
EYA1	"Eyes absent homolog 1 "	-	2138	14051	292172
EYA2	"Eyes absent homolog 2 "	EAB1	2139	14049	156826
EYA3	"Eyes absent homolog 3 "	DKFZp686C132	2140	14050	313027
EYA4	"Eyes absent homolog 4 "	-	2070	14051	292172
EZH1	"Histone-lysine N-methyltransferase EZH1 "	"KIAA0388 KMT6B"	2145	14055	303547
EZH2	"Histone-lysine N-methyltransferase EZH2 "	"EZH1 ENX-1 KMT6 KMT6A"	2146	14056	312299
EZR	"Ezrin "	-	7430	22350	54319
FABP4	"Fatty acid-binding protein, adipocyte "	"A-FABP aP2"	2167	11770	79451
FAM170A	"Protein FAM170A "	ZNFD	340069	225497	498864
FAM171B	"Protein FAM171B"	FLJ34104	165215		
FAM189B	"Protein ENTREP3 "	cote1	10712		
FAM200B	"Protein FAM200B"	C4orf53	285550		
FAM83G	"Protein FAM83G "	"FLJ41564 PAWS1"	644815	69640	100360307
FANCD2	"Fanconi anemia group D2 protein "	"FAD FA-D2"	2177	211651	312641
FARSA	"Phenylalanine--tRNA ligase alpha subunit "	CML33	2193		
FARSB	"Phenylalanine--tRNA ligase beta subunit "	"PheHB FRSB"	10056		
FBN1	"Fibrillin-1 [Cleaved into: Asprosin]"	"MASS OCTD SGS"	2200		
FBP1	"Fructose-1,6-bisphosphatase 1 "	-	2203	14121	24362
FBXL19	"F-box/LRR-repeat protein 19 "	"DKFZp434K0410 Fbl19 JHDM1C CXXC11"	54620	233902	308999
FBXO41	"F-box only protein 41"	"KIAA1940 Fbx41"	150726		
FBXO5	"F-box only protein 5 "	"FBX5 Fbxo31 EMI1"	26271		
FBXW11	"F-box/WD repeat-containing protein 11 "	"KIAA0696 Fbw1b BTRCP2 BTRC2 Hos Fbw11"	23291	103583	303024
FBXW7	"F-box/WD repeat-containing protein 7 "	"AGO FLJ11071 SEL-10 SEL10 FBW7 FBX30 CDC4 FBXW6"	55294	103583	303024
FEM1A	"Protein fem-1 homolog A "	-	55527		
FER	"Tyrosine-protein kinase Fer "	"TYK3 PPP1R74"	2241	14158	301737
FERD3L	"Fer3-like protein "	"NATO3 N-TWIST bHLHa31"	222894	114712	366598
FEV	"Protein FEV "	Pet-1	54738	260298	246271
FEZF1	"Fez family zinc finger protein 1 "	-	389549	73191	500048
FEZF2	"Fez family zinc finger protein 2 "	"FLJ10142 FKSG36 TOF FEZL Zfp312"	55079	54713	305719
FGD1	"FYVE, RhoGEF and PH domain-containing protein 1 "	ZFYVE3	2245		
FGF1	"Fibroblast growth factor 1 "	"AFGF ECGF ECGFA ECGFB HBGF1 ECGF-beta FGF-alpha GLIO703"	2246	14164	25317
Fgf11	"Fibroblast growth factor 11 "	-		14166	
Fgf2	"Fibroblast growth factor 2 "	-		14173	54250
FGF2	"Fibroblast growth factor 2 "	-	2247		
FGFR1	"Fibroblast growth factor receptor 1 "	"H2 H3 H4 H5 CEK FLG BFGFR N-SAM CD331"	2260	14182	79114
FGFR2	"Fibroblast growth factor receptor 2 "	"CEK3 TK14 TK25 ECT1 K-SAM CD332"	2263	14183	25022
FHIT	Bis	"FRA3B AP3Aase"	2272		
FHL1	"Four and a half LIM domains protein 1 "	"SLIM1 KYO-T bA535K18.1 FHL1B XMPMA FLH1A MGC111107"	2273	14199	25177
FHL2	"Four and a half LIM domains protein 2 "	"SLIM3 DRAL"	2274	14200	63839
FHL3	"Four and a half LIM domains protein 3 "	SLIM2	2275	14201	313582
FHL5	"Four and a half LIM domains protein 5 "	"FLJ33049 ACT dJ393D12.2"	9457	57756	297954
FHOD1	"FH1/FH2 domain-containing protein 1 "	FHOS	29109	234686	291964
FIGLA	"Factor in the germline alpha "	"bHLHc8 Figalpha"	344018	26910	500239
FIZ1	"Flt3-interacting zinc finger protein 1 "	"FLJ14768 ZNF798"	84922	23877	292584
FLI1	"Friend leukemia integration 1 transcription factor "	"SIC-1 EWSR2 FLI-1"	2313	14247	315532
FLII	"Protein flightless-1 homolog"	"FLI FLIL Fli1 MGC39265"	2314	14248	287375
FLNA	"Filamin-A "	ABP-280	2316	192176	293860
FLYWCH1	"FLYWCH-type zinc finger-containing protein 1"	DKFZp761A132	84256		
FMNL2	"Formin-like protein 2 "	KIAA1902	114793		
FOS	"Protein c-Fos "	"c-fos AP-1"	2353	14281	314322
FOSB	"Protein FosB "	"G0S3 GOSB GOS3 AP-1 MGC42291 DKFZp686C0818"	2354	14282	100360880
FOSL1	"Fos-related antigen 1 "	fra-1	8061	14283	25445
FOSL2	"Fos-related antigen 2 "	"FRA2 FLJ23306"	2355	14284	25446
FOXA1	"Hepatocyte nuclear factor 3-alpha "	-	3169	15375	25098
FOXA2	"Hepatocyte nuclear factor 3-beta "	-	3170	15376	25099
FOXA3	"Hepatocyte nuclear factor 3-gamma "	-	3171	15377	25100
FOXB1	"Forkhead box protein B1 "	"HFKH-5 FKH5"	27023	64290	367106
FOXB2	"Forkhead box protein B2"	bA159H20.4	442425	64290	367106
FOXC1	"Forkhead box protein C1 "	"FREAC3 ARA IGDA IHG1"	2296	17300	364706
FOXC2	"Forkhead box protein C2 "	MFH-1	2303	14234	171356
FOXD1	"Forkhead box protein D1 "	FREAC4	2297	14237	15221
FOXD2	"Forkhead box protein D2 "	FREAC9	2306	14237	15221
FOXD3	"Forkhead box protein D3 "	"Genesis HFH2"	27022	14237	15221
FOXD4	"Forkhead box protein D4 "	"FREAC5 FOXD4a"	2298	14237	15221
FOXD4L1	"Forkhead box protein D4-like 1 "	FOXD5	200350	14237	15221
FOXD4L3	"Forkhead box protein D4-like 3 "	"OTTHUMG00000019959 FOXD6"	286380	14237	15221
FOXD4L4	"Forkhead box protein D4-like 4 "	"bA460E7.2 OTTHUMG00000013337 OTTHUMG00000066752"	349334		
FOXD4L5	"Forkhead box protein D4-like 5 "	"bA15J10.2 OTTHUMG00000013332"	653427		
FOXD4L6	"Forkhead box protein D4-like 6 "	OTTHUMG00000066822	653404		
FOXE1	"Forkhead box protein E1 "	"TTF-2 HFKH4"	2304	110805	192274
FOXE3	"Forkhead box protein E3 "	FREAC8	2301	30923	171302
FOXF1	"Forkhead box protein F1 "	FREAC1	2294	14238	687536
FOXF2	"Forkhead box protein F2 "	FREAC2	2295	14238	687536
FOXG1	"Forkhead box protein G1 "	"HFK2 QIN BF1 HFK1 HFK3 HBF-3"	2290	15228	24370
FOXH1	"Forkhead box protein H1 "	FAST1	8928	14106	300054
FOXI1	"Forkhead box protein I1 "	FREAC6	2299	270004	287185
FOXI2	"Forkhead box protein I2"	FLJ46831	399823	270004	287185
FOXI3	"Forkhead box protein I3"	-	344167	232077	502846
FOXJ1	"Forkhead box protein J1 "	"HFH-4 HFH4"	2302	15223	116557
FOXJ2	"Forkhead box protein J2 "	FHX	55810	60611	502886
FOXJ3	"Forkhead box protein J3"	KIAA1041	22887	230700	313554
FOXK1	"Forkhead box protein K1 "	IMAGE:5164497	221937	17425	304298
FOXK2	"Forkhead box protein K2 "	-	3607	68837	303753
FOXL1	"Forkhead box protein L1 "	"FREAC7 FKH6"	2300	14241	687553
FOXL2	"Forkhead box protein L2"	BPES1	668	26927	367152
FOXL3	"Forkhead box protein L3"	-	116033993		
FOXM1	"Forkhead box protein M1 "	"HFH-11 trident HNF-3 INS-1 MPP2 MPHOSPH2 TGT3"	2305	14235	58921
FOXN1	"Forkhead box protein N1 "	FKHL20	8456	15218	287469
FOXN2	"Forkhead box protein N2 "	-	3344	14236	301676
FOXN3	"Forkhead box protein N3 "	-	1112	71375	314374
FOXN4	"Forkhead box protein N4"	-	121643	116810	288736
FOXO1	"Forkhead box protein O1 "	FKH1	2308	56458	84482
FOXO3	"Forkhead box protein O3 "	"AF6q21 FOXO2"	2309	56484	294515
FOXO3B	"Forkhead box protein O3B"	-	2310		
FOXO4	"Forkhead box protein O4 "	AFX1	4303	54601	302415
FOXO6	"Forkhead box protein O6"	-	100132074	329934	313558
FOXP1	"Forkhead box protein P1 "	"QRF1 12CC4 HSPC215 hFKH1B"	27086	108655	297480
FOXP2	"Forkhead box protein P2 "	CAGH44	93986	114142	500037
FOXP3	"Forkhead box protein P3 "	"JM2 XPID AIID PIDX DIETER SCURFIN"	50943	20371	317382
FOXP4	"Forkhead box protein P4 "	FLJ40908	116113	74123	363185
FOXQ1	"Forkhead box protein Q1 "	HFH1	94234	15220	64826
FOXR1	"Forkhead box protein R1 "	"DLNB13 FOXN5"	283150	436240	302583
FOXR2	"Forkhead box protein R2 "	"MGC21658 FOXN6"	139628	436240	302583
FOXS1	"Forkhead box protein S1 "	FREAC10	2307	14239	311547
FRK	"Tyrosine-protein kinase FRK "	"RAK GTK"	2444	14302	79209
FUBP1	"Far upstream element-binding protein 1 "	FBP	8880	51886	654496
FUBP3	"Far upstream element-binding protein 3 "	-	8939	320267	362106
FUS	"RNA-binding protein FUS "	"TLS FUS1 hnRNP-P2 HNRNPP2"	2521	233908	317385
GABPA	"GA-binding protein alpha chain "	"E4TF1A NFT2 NRF2 E4TF1-60 NRF2A"	2551	14390	363735
GABPB1	"GA-binding protein subunit beta-1 "	"E4TF1-47 GABPB"	2553	14391	499883
GABPB2	"GA-binding protein subunit beta-2 "	MGC29891	126626	213054	295263
GATA1	"Erythroid transcription factor "	"ERYF1 NFE1 GATA-1 NF-E1"	2623	14460	25172
GATA2	"Endothelial transcription factor GATA-2 "	NFE1B	2624	14461	25159
GATA3	"Trans-acting T-cell-specific transcription factor GATA-3 "	HDR	2625	14461	25159
GATA4	"Transcription factor GATA-4 "	-	2626	14463	54254
GATA5	"Transcription factor GATA-5 "	"bB379O24.1 GATAS"	140628	14464	499951
GATA6	"Transcription factor GATA-6 "	-	2627	14465	29300
GATAD1	"GATA zinc finger domain-containing protein 1 "	"ODAG RG083M05.2 FLJ22489"	57798	67210	500005
GATAD2A	"Transcriptional repressor p66-alpha "	p66alpha	54815	234366	290669
GATAD2B	"Transcriptional repressor p66-beta "	P66beta	57459	229542	310614
GBX1	"Homeobox protein GBX-1 "	-	2636	231044	246149
GBX2	"Homeobox protein GBX-2 "	-	2637	14472	114500
GCFC2	"Intron Large complex component GCFC2 "	"DNABF GCF"	6936	330361	312474
GCM1	"Chorion-specific transcription factor GCMa "	hGCMa	8521	14531	29394
GCM2	"Chorion-specific transcription factor GCMb "	hGCMb	9247	107889	291047
GFI1	"Zinc finger protein Gfi-1 "	"GFI1A GFI-1"	2672	14581	24388
GFI1B	"Zinc finger protein Gfi-1b "	ZNF163B	8328	14582	311832
GLI1	"Zinc finger protein GLI1 "	-	2735	14632	140589
GLI2	"Zinc finger protein GLI2 "	"THP2 HPE9 THP1"	2736		
GLI3	"Transcriptional activator GLI3 "	"PAP-A PAPA PAPA1 PAPB ACLS PPDIV"	2737	14634	140588
GLI4	"Zinc finger protein GLI4 "	"HKR4 ZNF928"	2738		500893
GLIS1	"Zinc finger protein GLIS1 "	FLJ36155	148979	230587	298732
GLIS2	"Zinc finger protein GLIS2 "	NPHP7	84662	83396	302946
GLIS3	"Zinc finger protein GLIS3 "	MGC33662	169792	226075	
GLMP	"Glycosylated lysosomal membrane protein "	"MGC31963 NCU-G1"	112770	56700	295231
GLYR1	"Cytokine-like nuclear factor N-PAC "	"BM045 HIBDL NP60 N-PAC"	84656	74022	360477
GMCL1	"Germ cell-less protein-like 1 "	"FLJ13057 BTBD13 GCL1 SPATA29"	64395	23885	
GMEB1	"Glucocorticoid modulatory element-binding protein 1 "	"P96PIF PIF96"	10691	56809	500558
GMEB2	"Glucocorticoid modulatory element-binding protein 2 "	"P79PIF KIAA1269 PIF79"	26205	229004	83635
GMNN	Geminin	Gem	51053	57441	291137
Gnas	"Guanine nucleotide-binding protein G"	-		14683	24896
GNL3	"Guanine nucleotide-binding protein-like 3 "	"C77032 E2IG3 MGC800 NS"	26354	30877	290556
GON4L	"GON-4-like protein "	"FLJ20203 GON-4 YARP"	54856	76022	499653
GPATCH8	"G patch domain-containing protein 8"	-	23131		
GPBP1	"Vasculin "	DKFZp761C169	65056	73274	294734
GPBP1L1	"Vasculin-like protein 1 "	SP192	60313	77110	313519
GPR155	"Integral membrane protein GPR155 "	"DEPDC3 DEP.7 FLJ31819 PGR22"	151556		
GPS2	"G protein pathway suppressor 2 "	-	2874	56310	497941
GREB1	"Protein GREB1 "	KIAA0575	9687		
GRHL1	"Grainyhead-like protein 1 homolog "	"LBP-32 MGR"	29841	252973	299979
GRHL2	"Grainyhead-like protein 2 homolog "	"FLJ13782 BOM"	79977	252973	299979
GRHL3	"Grainyhead-like protein 3 homolog "	SOM	57822	230824	298555
GRHPR	"Glyoxylate reductase/hydroxypyruvate reductase "	PH2	9380	76238	680021
GRIP1	"Glutamate receptor-interacting protein 1 "	-	23426	74053	84016
GRM6	"Metabotropic glutamate receptor 6 "	"GPRC1F mGlu6 MGLUR6 CSNB1B"	2916		
GSC	"Homeobox protein goosecoid"	-	145258	14836	317715
GSC2	"Homeobox protein goosecoid-2 "	-	2928	195333	363831
GSK3B	"Glycogen synthase kinase-3 beta "	-	2932	56637	84027
GSX1	"GS homeobox 1 "	Gsh-1	219409	14842	288457
GSX2	"GS homeobox 2 "	Gsh2	170825	14843	364140
GTF2A1	"Transcription initiation factor IIA subunit 1 "	TFIIA	2957	83602	83830
Gtf2a1l	"TFIIA-alpha and beta-like factor "	-		71828	316711
GTF2A1L	"TFIIA-alpha and beta-like factor "	ALF	11036		
GTF2A2	"Transcription initiation factor IIA subunit 2 "	"TFIIA HsT18745"	2958	235459	103695118
GTF2B	"Transcription initiation factor IIB "	TFIIB	2959	229906	81673
GTF2E1	"General transcription factor IIE subunit 1 "	"TFIIE-A FE"	2960	74197	303918
GTF2E2	"Transcription initiation factor IIE subunit beta "	"TFIIE-B FE TF2E2"	2961	68153	306516
GTF2F1	"General transcription factor IIF subunit 1 "	"TFIIF BTF4 RAP74 TF2F1"	2962	98053	316123
GTF2F2	"General transcription factor IIF subunit 2 "	"TFIIF BTF4 RAP30"	2963	68705	81674
GTF2H1	"General transcription factor IIH subunit 1 "	"BTF2 P62 TFIIH"	2965	14884	361580
GTF2H2	"General transcription factor IIH subunit 2 "	"BTF2 TFIIH BTF2P44 T-BTF2P44 p44"	2966	23894	294693
GTF2H2C	"General transcription factor IIH subunit 2-like protein "	LOC730394	728340	23894	294693
GTF2H3	"General transcription factor IIH subunit 3 "	"BTF2 TFIIH P34"	2967	209357	288651
GTF2H4	"General transcription factor IIH subunit 4 "	"TFB2 TFIIH P52"	2968	14885	294236
GTF2H5	"General transcription factor IIH subunit 5 "	"FLJ30544 bA120J8.2 TTD-A TFB5 TFIIH TTDA"	404672	66467	502227
GTF2I	"General transcription factor II-I "	"TFII-I BAP-135 SPIN BTKAP1 DIWS IB291"	2969	14886	353256
GTF2IRD1	"General transcription factor II-I repeat domain-containing protein 1 "	"MusTRD1 RBAP2 GTF3 WBSCR12 BEN Cream1"	9569	57080	246770
GTF2IRD2	"General transcription factor II-I repeat domain-containing protein 2A "	"FLJ37938 GTF2IRD2A"	84163	114674	
GTF2IRD2B	"General transcription factor II-I repeat domain-containing protein 2B "	-	389524	114674	
GTF3A	"Transcription factor IIIA "	"TFIIIA AP2"	2971	66596	246299
GTF3C1	"General transcription factor 3C polypeptide 1 "	TFIIIC220	2975		
GTF3C2	"General transcription factor 3C polypeptide 2 "	"KIAA0011 TFIIIC110"	2976		
GTF3C3	"General transcription factor 3C polypeptide 3 "	"TFiiiC2-102 TFIIIC102"	9330		
GTF3C4	"General transcription factor 3C polypeptide 4 "	"TFIIIC90 KAT12"	9329		
GTF3C5	"General transcription factor 3C polypeptide 5 "	"TFiiiC2-63 TFIIIC63 TFIIICepsilon"	9328		
GZF1	"GDNF-inducible zinc finger protein 1 "	"dJ322G13.2 ZBTB23"	64412	74533	311508
H1-1	"Histone H1.1 "	"H1.1 H1a"	3024	80838	291145
H1-10	"Histone H1.10 "	"MGC15959 MGC8350 H1X"	8971		
H1-2	"Histone H1.2 "	"H1.2 H1s-1 H1c"	3006	50708	684681
H1-3	"Histone H1.3 "	"H1.3 H1d H1s-2"	3007	50708	684681
H1-4	"Histone H1.4 "	"H1.4 H1e H1s-4"	3008	50709	201097
H1-5	"Histone H1.5 "	"H1b H1s-3"	3009	56702	680522
H1-6	"Histone H1t "	H1t	3010	107970	24438
H1-8	"Histone H1.8 "	-	132243	171506	502875
H1-NA	"Histone H1.NA "	H1.NA	3005	14958	24437
H2AZ1	"Histone H2A.Z "	H2A.Z	3015	51788	58940
H2AZ2	"Histone H2A.V "	"MGC10170 MGC10831 MGC1947"	94239	51788	58940
H3-3A	"Histone H3.3"	"H3.3A H3.3B"	3020	15077	690126
HABP4	"Intracellular hyaluronan-binding protein 4 "	"IHABP4 SERBP1L"	22927	56541	361196
HAND1	"Heart- and neural crest derivatives-expressed protein 1 "	"eHand Thing1 Hxt bHLHa27"	9421	15110	59112
HAND2	"Heart- and neural crest derivatives-expressed protein 2 "	"dHand Thing2 Hed bHLHa26"	9464	15111	64637
HAT1	"Histone acetyltransferase type B catalytic subunit "	KAT1	8520	107435	296501
HAX1	"HCLS1-associated protein X-1 "	"HS1BP1 HCLSBP1 HAX-1"	10456	23897	291202
HBP1	"HMG box-containing protein 1 "	-	26959	73389	27080
HCFC1	"Host cell factor 1 "	"HCF-1 HCF1 CFF VCAF MGC70925 PPP1R89"	3054	15161	363519
HCFC2	"Host cell factor 2 "	HCF-2	29915	67933	314704
HCK	"Tyrosine-protein kinase HCK "	JTK9	3055	15162	25734
HCLS1	"Hematopoietic lineage cell-specific protein "	"HS1 CTTNL"	3059	15163	288077
HDAC1	"Histone deacetylase 1 "	"HD1 GON-10 KDAC1"	3065	433759	297893
HDAC10	"Polyamine deacetylase HDAC10 "	DKFZP761B039	83933	170787	362981
HDAC11	"Histone deacetylase 11 "	-	79885	232232	297453
HDAC2	"Histone deacetylase 2 "	"RPD3 YAF1 KDAC2"	3066	15182	84577
HDAC3	"Histone deacetylase 3 "	"RPD3 HD3 RPD3-2 KDAC3"	8841	15183	84578
HDAC4	"Histone deacetylase 4 "	"KIAA0288 HDAC-A HDACA HD4 HA6116 HDAC-4"	9759	208727	363287
HDAC5	"Histone deacetylase 5 "	"KIAA0600 NY-CO-9 FLJ90614"	10014	15184	84580
HDAC6	"Histone deacetylase 6 "	"KIAA0901 JM21 HD6 FLJ16239 PPP1R90"	10013	15185	84581
HDAC7	"Histone deacetylase 7 "	DKFZP586J0917	51564	56233	84582
HDAC8	"Histone deacetylase 8 "	"RPD3 KDAC8"	55869	70315	363481
HDAC9	"Histone deacetylase 9 "	"KIAA0744 HDAC MITR HD7 HDAC7B"	9734	79221	687001
HDGF	"Hepatoma-derived growth factor "	HMG1L2	3068	15191	114499
HDGFL1	"Hepatoma-derived growth factor-like protein 1 "	"dJ309H15.1 Hdgfrp1 HRP-1"	154150		
HDGFL2	"Hepatoma-derived growth factor-related protein 2 "	"HRP2 Hdgfrp2"	84717	15193	171073
Hdgfl3	"Hepatoma-derived growth factor-related protein 3 "	-		29877	252941
HDGFL3	"Hepatoma-derived growth factor-related protein 3 "	"HRP-3 Hdgfrp3"	50810		
HDX	"Highly divergent homeobox"	FLJ30678	139324	245596	
HEATR1	"HEAT repeat-containing protein 1 "	"FLJ10359 BAP28 UTP10"	55127	217995	108348069
HELLS	"Lymphoid-specific helicase "	"PASG SMARCA6 LSH Nbla10143"	3070	15201	100911660
HELT	"Hairy and enhancer of split-related protein HELT "	"HESL HCM1228 Mgn bHLHb44 MEGANE"	391723	234219	498633
HELZ	"Probable helicase with zinc finger domain "	"KIAA0054 HUMORF5 DHRC"	9931		
HELZ2	"Helicase with zinc finger domain 2 "	"PDIP1 PRIC285 KIAA1769"	85441	229003	296474
HES1	"Transcription factor HES-1 "	"FLJ20408 HES-1 bHLHb39"	3280	15205	29577
HES2	"Transcription factor HES-2 "	bHLHb40	54626	15206	29567
HES3	"Transcription factor HES-3 "	bHLHb43	390992	15207	64628
HES4	"Transcription factor HES-4 "	bHLHb42	57801		
HES5	"Transcription factor HES-5 "	bHLHb38	388585	15208	79225
HES6	"Transcription cofactor HES-6 "	bHLHb41	55502	55927	316626
HES7	"Transcription factor HES-7 "	bHLHb37	84667	84653	287423
HESX1	"Homeobox expressed in ES cells 1 "	"RPX ANF"	8820	15209	498575
HEXIM1	"Protein HEXIM1 "	"CLP-1 HIS1 MAQ1 EDG1"	10614	192231	498008
HEXIM2	"Protein HEXIM2 "	FLJ32384	124790	71059	303580
HEY1	"Hairy/enhancer-of-split related with YRPW motif protein 1 "	"HESR-1 CHF2 HESR1 HRT-1 CHF-2 HERP2 bHLHb31"	23462	15213	155437
HEY2	"Hairy/enhancer-of-split related with YRPW motif protein 2 "	"bHLHb32 HERP1 HESR2"	23493	15214	155430
HEYL	"Hairy/enhancer-of-split related with YRPW motif-like protein "	"bHLHb33 HEY3 HESR3"	26508	56198	313575
HHEX	"Hematopoietically-expressed homeobox protein HHEX "	"HEX HOX11L-PEN"	3087	15242	79237
HIC1	"Hypermethylated in cancer 1 protein "	"ZBTB29 ZNF901"	3090	15248	303310
HIC2	"Hypermethylated in cancer 2 protein "	"KIAA1020 HRG22 ZBTB30 ZNF907"	23119	58180	287940
HIF1A	"Hypoxia-inducible factor 1-alpha "	"MOP1 HIF-1alpha PASD8 HIF1 bHLHe78"	3091	15251	29560
HIF1AN	"Hypoxia-inducible factor 1-alpha inhibitor "	"FLJ20615 DKFZp762F1811 FLJ22027 FIH1"	55662	319594	309434
HIF3A	"Hypoxia-inducible factor 3-alpha "	"IPAS MOP7 PASD7 bHLHe17"	64344	53417	64345
HINFP	"Histone H4 transcription factor "	"DKFZP434F162 HiNF-P ZNF743"	25988	102423	300665
