gene,avg cluster stat sig,most stat sig cluster,least stat sig cluster,avg # species per cluster
KANK1,0.34232000000000007,0.0177,0.4947,56.6
PIKFYVE,0.4381,0.3937,0.4825,120.0
DLX5,0.49050000000000005,0.4837,0.4973,122.0
BRIP1,0.494,0.488,0.5,126.0
MYO6,0.45685,0.4164,0.4973,122.5
PHB2,0.43563999999999997,0.3968,0.4835,77.0
MED22,0.39525,0.3926,0.3979,124.0
CDK5R1,0.350425,0.1818,0.4945,62.5
ZSCAN10,0.2991333333333333,0.2489,0.3542,88.66666666666667
ZNF26,0.43815000000000004,0.3793,0.497,94.5
POU4F2,0.43325,0.3692,0.4973,108.5
AATF,0.38020000000000004,0.3528,0.4198,97.33333333333333
KIAA1549,0.29864999999999997,0.13,0.4731,66.25
ZNF646,0.2796,0.1362,0.4197,68.25
POLE4,0.4926,0.4911,0.4941,112.5
ZNF658,0.30735,0.0812,0.3964,43.5
ATF3,0.34375,0.2457,0.4418,117.0
ZNF512,0.37565000000000004,0.3098,0.4415,131.0
PHIP,0.45976,0.3807,0.5,59.4
PURA,0.4359333333333333,0.3882,0.4873,76.0
DUS3L,0.4808,0.4726,0.489,191.0
SAV1,0.48385,0.4677,0.5,118.5
HSBP1,0.4474,0.4129,0.4819,120.0
FOXP4,0.4863,0.4726,0.5,126.0
FOXA1,0.35892,0.2414,0.4701,54.8
TOX2,0.4481,0.4182,0.478,147.5
SUPT16H,0.46204999999999996,0.431,0.4931,116.5
ZFAND6,0.4617,0.4344,0.489,167.5
TEAD4,0.41974999999999996,0.363,0.4765,133.5
HSPA5,0.4672,0.4344,0.5,118.0
TRIM25,0.36010000000000003,0.221,0.457,45.4
ZFHX3,0.2702,0.0404,0.5,93.5
ZNF415,0.47004999999999997,0.4401,0.5,177.5
NCOA4,0.38775,0.3088,0.5,129.25
ZNF300,0.48355000000000004,0.4791,0.488,127.0
LRPPRC,0.40882000000000007,0.3289,0.5,90.6
SLC30A9,0.4600333333333333,0.4394,0.4986,88.33333333333333
DEPDC1B,0.44786666666666664,0.3952,0.4783,84.0
ZNF605,0.4373,0.4076,0.467,99.0
FOXO6,0.46345000000000003,0.43,0.4969,93.5
FOXD4L4,0.3285,0.1788,0.4512,48.4
BUD31,0.43679999999999997,0.3777,0.4959,109.5
IRF7,0.2993,0.1456,0.453,100.0
USF2,0.47173333333333334,0.4435,0.5,135.33333333333334
HDGFL1,0.3147,0.1607,0.4758,55.75
PRAMEF11,0.4122,0.3611,0.4907,104.5
ASCL4,0.2808,0.1566,0.405,105.5
TIGD4,0.39180000000000004,0.3654,0.4182,125.5
ETS1,0.4933,0.4914,0.4957,153.0
PRKCQ,0.46514999999999995,0.4357,0.4946,124.0
SMAD2,0.4837,0.4701,0.4973,127.0
ZNF551,0.45835,0.4463,0.4704,175.0
BCL10,0.4945,0.489,0.5,110.0
RBMXL1,0.31045,0.128,0.4929,11.5
JAK2,0.4616,0.4198,0.4892,87.66666666666667
ERCC2,0.4622,0.4271,0.4973,126.0
TCEA2,0.303,0.1465,0.4826,70.2
MYB,0.46315,0.429,0.4973,203.0
MAPK9,0.4567333333333334,0.419,0.4756,137.33333333333334
ZNF8,0.4039333333333333,0.3905,0.4174,91.0
CBX1,0.45025000000000004,0.4047,0.4958,112.5
KCNIP1,0.4837,0.4701,0.4973,190.0
ZC3H13,0.4702,0.4431,0.4973,121.5
NANOGNB,0.2599,0.0868,0.433,68.0
SUV39H2,0.44914,0.4209,0.4753,94.4
PHF1,0.37233333333333335,0.1921,0.4819,142.66666666666666
CDC73,0.46035000000000004,0.4344,0.4863,130.5
ZNF343,0.49043333333333333,0.4869,0.4922,97.0
NFILZ,0.3411,0.1584,0.4492,78.33333333333333
PPIE,0.4485,0.4458,0.4512,173.0
RARA,0.47809999999999997,0.4466,0.4959,144.66666666666666
ZBTB12,0.3285,0.1624,0.4946,98.0
RNF113B,0.20736666666666667,0.0689,0.4449,11.666666666666666
GTF2I,0.3215666666666666,0.0166,0.4973,121.66666666666667
HIF1A,0.45155,0.3926,0.4973,119.25
EBF4,0.46885,0.4404,0.4973,114.0
REL,0.45894999999999997,0.4453,0.4726,199.5
NFYB,0.48624999999999996,0.4835,0.489,154.0
PRDM12,0.43325,0.3539,0.4973,101.5
SSX7,0.2743,0.0258,0.4093,96.33333333333333
CHD5,0.4487,0.4137,0.4837,119.0
MYRFL,0.37985,0.2989,0.4854,67.75
OSR1,0.33424000000000004,0.1252,0.4249,56.2
SETD1A,0.4595,0.4217,0.4973,117.5
SOX14,0.2903,0.1476,0.433,116.0
FAM189B,0.35302500000000003,0.2752,0.4497,62.25
PADI4,0.41910000000000003,0.3602,0.478,108.0
RNF114,0.450425,0.3926,0.4959,113.5
ZNF831,0.35892,0.178,0.4873,52.6
SF1,0.47797500000000004,0.4431,0.4973,131.5
VEZF1,0.47485000000000005,0.4357,0.4973,88.5
TRIM66,0.4689,0.4435,0.4943,116.5
UBR2,0.45104999999999995,0.4075,0.4946,120.5
SNAI1,0.35312499999999997,0.2676,0.4058,64.25
FHL2,0.32147499999999996,0.0368,0.4726,62.75
HSF2,0.4619,0.4251,0.4987,119.5
ZNF727,0.272475,0.02,0.4432,77.75
ZNF814,0.4758,0.4736,0.478,70.5
ZNF684,0.4401,0.3802,0.5,112.5
MINK1,0.47409999999999997,0.4496,0.4986,116.5
BOLA1,0.4012,0.3958,0.4066,128.5
FUS,0.47625,0.4539,0.4986,111.0
CNOT10,0.4572,0.4198,0.4946,126.5
MIDEAS,0.34408000000000005,0.1151,0.4774,57.4
DZIP1,0.489,0.478,0.5,115.0
ZNF473,0.496,0.496,0.496,105.5
CRAMP1,0.3279666666666667,0.1562,0.4735,81.66666666666667
ZNF366,0.357375,0.1167,0.4555,64.25
TXLNG,0.36875,0.1501,0.4974,75.25
SIX5,0.40125,0.316,0.4865,89.5
TAX1BP3,0.46175,0.445,0.4785,126.5
GPR155,0.48435,0.4701,0.4986,117.0
WDHD1,0.313525,0.1291,0.45,72.25
ZSCAN5B,0.2844,0.2747,0.2981,52.0
ASXL1,0.31179999999999997,0.2414,0.3822,123.5
ZBTB37,0.49185,0.4891,0.4946,122.5
TGIF2LX,0.29835,0.1655,0.4312,85.0
CBL,0.4904,0.4835,0.4973,129.0
FARSB,0.4898,0.4878,0.4918,122.5
HNF4G,0.4618,0.4236,0.5,117.5
NIPBL,0.4652,0.4304,0.5,116.5
NFKBIE,0.45105,0.4252,0.4769,189.5
TULP4,0.36613333333333337,0.3039,0.4737,74.0
HOXD9,0.38195,0.287,0.4769,104.5
HES7,0.38105,0.2843,0.4778,106.5
ZNF135,0.45589999999999997,0.4282,0.4836,109.0
RC3H1,0.48925,0.4812,0.4973,121.0
TAF7L,0.39885000000000004,0.3849,0.4128,161.0
NRIP1,0.34334,0.1456,0.4785,56.6
MYOD1,0.3539666666666667,0.1926,0.4986,83.33333333333333
PPM1A,0.4854,0.4783,0.4986,162.25
ZNF783,0.3653,0.3523,0.3783,116.5
LBX2,0.40185999999999994,0.3404,0.4785,78.2
ZMAT2,0.3592,0.2184,0.5,112.5
ZNF620,0.5,0.5,0.5,112.5
RAI1,0.30115000000000003,0.1986,0.4726,66.5
ZEB1,0.41807500000000003,0.2878,0.4731,80.25
EID2B,0.23815000000000003,0.1605,0.3158,44.5
SATB2,0.46885,0.4377,0.5,120.5
ZNF705B,0.44345,0.4059,0.481,134.5
TAF1,0.46245,0.4236,0.4973,68.75
OAZ1,0.47265,0.4453,0.5,114.0
HLX,0.3287,0.2413,0.4249,82.0
VSX1,0.42733333333333334,0.4106,0.441,116.66666666666667
SOX9,0.33215,0.25,0.4143,94.5
BTG2,0.43574999999999997,0.4198,0.4517,124.0
SETSIP,0.18445,0.0887,0.2802,11.5
LENG9,0.34772,0.1449,0.4766,36.6
TBX4,0.48765000000000003,0.4753,0.5,121.5
ZNF574,0.4047666666666667,0.3143,0.4783,135.0
RNF10,0.41047500000000003,0.39,0.4377,72.25
LRRC14,0.2885,0.1855,0.3915,117.5
UTP4,0.41175,0.3439,0.4796,139.0
PRKD1,0.45456,0.4031,0.4918,78.8
FEZF2,0.3433,0.2724,0.4142,116.5
ELOF1,0.46447499999999997,0.4357,0.5,189.75
ALX3,0.40700000000000003,0.3167,0.4973,103.0
KNTC1,0.44745,0.4058,0.4891,120.0
TTC21B,0.49060000000000004,0.4812,0.5,127.5
NR1D2,0.44265,0.4182,0.4671,128.0
ATF6B,0.39080000000000004,0.3002,0.4814,128.5
ZNF764,0.40726666666666667,0.3048,0.5,83.66666666666667
EOMES,0.4466666666666666,0.3937,0.5,81.66666666666667
ZBTB6,0.4304,0.4251,0.4357,122.5
HSPA1B,0.2792,0.13,0.391,40.666666666666664
MYOG,0.41355,0.4102,0.4169,125.0
PRMT6,0.38722500000000004,0.3115,0.4176,69.5
PAX9,0.41768,0.2701,0.5,56.0
ZNF430,0.32296,0.0429,0.5,60.0
REST,0.4411,0.4265,0.4557,112.5
ZNF593,0.47240000000000004,0.4646,0.4802,176.5
SMARCB1,0.4863,0.4726,0.5,167.5
RFXANK,0.44795,0.4067,0.4892,116.0
KLF15,0.33614,0.0412,0.4647,53.8
NPAS4,0.38695,0.315,0.4589,122.5
C6orf89,0.45366666666666666,0.4067,0.4812,132.66666666666666
ARGFX,0.30774999999999997,0.1951,0.4204,56.0
ZNF529,0.47333333333333333,0.4714,0.4743,126.66666666666667
MNX1,0.38970000000000005,0.2874,0.4675,98.5
DMRT2,0.4497,0.3915,0.4959,153.75
SHOX2,0.43305,0.4198,0.4463,136.0
FOXR1,0.32575,0.25,0.4015,113.0
ZNF222,0.42485,0.4189,0.4308,147.0
ASF1A,0.41969999999999996,0.3449,0.4945,117.5
NUP98,0.4725,0.4463,0.4987,121.5
PCBP1,0.31476,0.1291,0.4111,47.8
HOXA4,0.2702,0.1,0.4404,95.0
L3MBTL2,0.3982,0.3112,0.4852,122.0
SLC4A10,0.4268,0.368,0.4677,85.5
SNAPC3,0.316325,0.1329,0.445,61.0
PRKN,0.4958,0.4944,0.4972,118.5
MED19,0.4758,0.4731,0.4785,112.5
PRDM6,0.4151999999999999,0.3086,0.4986,47.0
PLXNA2,0.452,0.4067,0.4973,118.0
RUNX3,0.4859,0.4718,0.5,110.0
CCT4,0.44515,0.3944,0.4959,112.5
THAP2,0.38780000000000003,0.3654,0.4102,120.5
TP63,0.4697,0.4005,0.4973,161.25
ID1,0.37085,0.25,0.4244,83.25
EBF3,0.4811666666666667,0.4624,0.4919,89.33333333333333
SNIP1,0.3659333333333333,0.231,0.4434,84.33333333333333
SUPT20HL2,0.2685,0.1354,0.4313,44.0
ZNF385B,0.41915,0.3952,0.4431,145.0
KRTAP5-9,0.25935,0.0507,0.468,30.5
BRD2,0.42329999999999995,0.3398,0.478,137.66666666666666
GBX2,0.3977,0.3174,0.478,106.5
NACA,0.4386333333333334,0.3428,0.5,148.33333333333334
SUPT4H1,0.46226666666666666,0.4201,0.4972,146.0
BHLHE41,0.28545,0.142,0.4289,89.0
FHL5,0.4089,0.3232,0.4946,113.5
GRHPR,0.4726,0.4726,0.4726,198.0
NHLH2,0.38570000000000004,0.2755,0.4959,104.5
ZNF451,0.40903999999999996,0.3489,0.4728,106.4
ZFP69,0.4027,0.3144,0.491,119.0
PIAS1,0.45985,0.4251,0.4946,115.5
ZNF836,0.5,0.5,0.5,117.33333333333333
PPARGC1B,0.4199,0.3717,0.4681,131.5
DEPDC4,0.40462,0.2823,0.4652,33.8
SOX13,0.3455333333333333,0.2719,0.4463,85.66666666666667
SMARCAD1,0.49455,0.4905,0.4986,121.5
CHD2,0.45855,0.4225,0.4946,126.0
ZNF548,0.43108,0.4146,0.4865,180.8
HLF,0.45685,0.4164,0.4973,114.0
ZNF556,0.3861333333333333,0.3353,0.4158,94.66666666666667
SMAD5,0.27754999999999996,0.13,0.4251,112.5
TIGD3,0.37805,0.3257,0.4304,118.5
SERTAD3,0.3362,0.1179,0.4747,55.6
ASCL3,0.35955,0.2478,0.4713,117.0
KRBA2,0.41465,0.404,0.4253,127.5
FOXD4L3,0.34126666666666666,0.2857,0.4185,80.33333333333333
CCNA2,0.32342499999999996,0.1599,0.4756,65.5
FOXO1,0.31620000000000004,0.2781,0.3543,94.0
TESC,0.4611,0.433,0.4892,121.0
ZC3H14,0.4846,0.4674,0.4946,169.0
ZFP36L1,0.4345666666666667,0.3899,0.4694,80.33333333333333
ZNF117,0.27949999999999997,0.0149,0.4111,92.2
CBX6,0.3645,0.3568,0.3722,122.5
PITX1,0.49865000000000004,0.4973,0.5,111.5
PRAME,0.419825,0.3131,0.4791,172.75
SAMD4B,0.3398666666666667,0.1305,0.4701,80.0
CAMK2D,0.4625,0.4366,0.4884,132.0
FBP1,0.46985,0.4589,0.4808,185.0
JAZF1,0.46305,0.4398,0.4863,127.5
EHMT2,0.44125000000000003,0.3882,0.4943,119.5
CALCOCO1,0.4365666666666667,0.4005,0.4661,93.33333333333333
PYHIN1,0.39285000000000003,0.3573,0.4284,68.5
ZFHX4,0.42215,0.4095,0.4348,96.5
TRIM22,0.3672,0.1604,0.4537,74.0
PHF20,0.47705,0.4555,0.4986,115.0
TEAD3,0.3585,0.2366,0.4804,123.0
SETD7,0.400325,0.315,0.4726,117.5
NFATC1,0.35678,0.2332,0.4919,71.6
ZNF85,0.32115,0.0364,0.5,84.0
POU5F2,0.28507499999999997,0.1782,0.4124,49.25
TBPL1,0.44035,0.3807,0.5,113.5
CUX2,0.48885,0.4805,0.4972,118.0
ZNF746,0.36912500000000004,0.2933,0.4534,66.0
ZNF875,0.4544333333333333,0.4204,0.5,104.33333333333333
TRIP10,0.4144,0.3398,0.489,148.0
U2AF1L4,0.46372,0.4179,0.5,90.6
ZFP1,0.43505,0.3847,0.4854,134.0
ZBTB48,0.34590000000000004,0.2108,0.4958,87.66666666666667
UBE2D2,0.41883333333333334,0.3565,0.4512,150.0
SCML4,0.35085,0.2781,0.4236,118.5
MESP2,0.2939,0.0944,0.486,42.6
ZMIZ1,0.405875,0.3197,0.4802,110.5
ZNF319,0.45030000000000003,0.4021,0.4985,106.0
LHX8,0.34975999999999996,0.1196,0.4534,87.4
ELP1,0.49855,0.4971,0.5,116.0
NCOA3,0.49445,0.4889,0.5,116.0
USP47,0.47045,0.4463,0.4946,119.5
MED25,0.48905,0.4822,0.4959,127.0
LMNA,0.4544,0.4357,0.4731,178.0
CLU,0.425375,0.3481,0.4915,69.0
PHF21B,0.37134,0.1074,0.4855,109.0
DLX2,0.38376666666666664,0.2952,0.4661,80.66666666666667
FLYWCH1,0.3327,0.227,0.4384,104.5
HOXB8,0.325725,0.0994,0.4677,58.0
ZNF200,0.33066,0.2133,0.4552,48.4
HOXC11,0.43845,0.4225,0.4544,188.0
HOXC6,0.5,0.5,0.5,215.0
ARNTL,0.4631,0.4344,0.4918,195.5
ZBTB7B,0.40396,0.2901,0.4973,69.0
ACTR5,0.48455000000000004,0.4731,0.496,112.5
FOXP3,0.38644999999999996,0.3654,0.4075,173.5
ZFP90,0.32596,0.0236,0.4974,52.6
ATF4,0.39455,0.316,0.4731,115.0
CCNE1,0.4333,0.3693,0.4973,119.5
ARID5A,0.38517500000000005,0.3489,0.4377,135.5
FOXK2,0.49724999999999997,0.4945,0.5,115.5
ZNF641,0.4119,0.3718,0.4674,108.4
POLE3,0.4255,0.4163,0.4347,124.5
THRSP,0.38258000000000003,0.2839,0.4968,48.6
EVX2,0.47805,0.4726,0.4835,94.5
BTAF1,0.4465,0.3944,0.4986,119.5
ZNF653,0.47335,0.4481,0.4986,118.0
MRGBP,0.43420000000000003,0.3876,0.4808,118.5
ZNF33A,0.46245,0.4509,0.474,111.5
SMARCA1,0.45213333333333333,0.3784,0.4945,82.33333333333333
DRAP1,0.4894,0.4802,0.4986,146.5
NFXL1,0.46485,0.4324,0.4973,118.0
GTF2H1,0.42995,0.3654,0.4945,116.5
PCGF2,0.49205,0.4854,0.4987,106.0
FOXQ1,0.33407499999999996,0.1842,0.4846,51.75
ETV7,0.4019333333333333,0.3489,0.4458,101.33333333333333
YWHAB,0.4773666666666667,0.4593,0.5,86.66666666666667
SMURF2,0.35062,0.0205,0.4961,59.8
ZIC5,0.36656666666666665,0.2794,0.4438,59.0
ZNF507,0.34759999999999996,0.1575,0.4671,80.0
ELANE,0.4373,0.3931,0.4815,105.0
ZFP82,0.45948,0.3418,0.5,103.2
ESRRG,0.44755,0.4005,0.4946,182.0
EYA2,0.47740000000000005,0.4726,0.4822,128.5
ZNF519,0.37515,0.0305,0.5,92.5
TRPS1,0.4589,0.4534,0.4644,133.5
YBX1,0.36164999999999997,0.168,0.5,63.5
HOXB4,0.4919,0.4892,0.4946,100.0
ZNF212,0.3106,0.1456,0.4652,81.0
ENO1,0.478775,0.4644,0.4973,73.75
ZNF146,0.31703333333333333,0.0258,0.4806,74.66666666666667
MED29,0.4614,0.4377,0.4851,171.0
PLXNB2,0.35775,0.1558,0.5,63.0
TAF1A,0.49855,0.4971,0.5,113.5
POU3F2,0.34386,0.1133,0.4944,43.0
LIMA1,0.4878,0.4783,0.4973,198.0
MAML3,0.4697,0.4146,0.4986,82.33333333333333
FBN1,0.3062333333333333,0.0109,0.4946,78.66666666666667
MEOX1,0.39590000000000003,0.316,0.4758,114.5
TADA3,0.40926666666666667,0.3968,0.4182,96.33333333333333
SFSWAP,0.394775,0.2721,0.4756,74.5
CPXCR1,0.2718,0.1137,0.4481,39.333333333333336
LHX4,0.4337,0.3915,0.4698,88.33333333333333
RNF20,0.49934999999999996,0.4987,0.5,115.5
LEO1,0.4389,0.3915,0.4863,117.5
LIN28A,0.3814,0.3471,0.4157,119.0
MAP3K7,0.4182,0.3527,0.4837,119.5
ZBTB44,0.4053,0.2315,0.5,99.5
EGFR,0.4852,0.4731,0.4973,121.0
BCL6B,0.4598,0.4251,0.4785,82.66666666666667
FGFR2,0.46035000000000004,0.4344,0.4863,194.0
PROX1,0.4548,0.4435,0.4661,135.5
ZBED3,0.4536,0.4377,0.4695,110.0
MAGEA2,0.402,0.3746,0.4288,170.25
ZNF879,0.4992,0.4984,0.5,133.5
ZHX3,0.31650000000000006,0.1281,0.4671,57.8
TIRAP,0.45930000000000004,0.4485,0.4701,156.0
HR,0.32466666666666666,0.1502,0.4973,88.0
TDP2,0.40385000000000004,0.3819,0.4258,155.0
ATRX,0.45735000000000003,0.4253,0.4894,108.0
CAVIN1,0.29995,0.2046,0.3953,113.5
ZNF251,0.342475,0.1227,0.5,42.25
FBXW11,0.4311,0.3732,0.489,136.0
EPAS1,0.4381,0.3952,0.481,115.5
CXXC1,0.4699,0.4398,0.5,109.0
ZC3H18,0.35152500000000003,0.1608,0.4701,66.0
SALL2,0.42838000000000004,0.3889,0.4876,85.2
TMEM260,0.4646,0.4388,0.4904,127.0
MAZ,0.420375,0.3084,0.474,79.5
USP16,0.42395,0.352,0.4959,110.0
AKT1,0.43984999999999996,0.3893,0.4829,92.75
GFI1B,0.4656666666666667,0.4377,0.4837,90.66666666666667
HIPK1,0.4863,0.4726,0.5,112.5
POLR3G,0.47585,0.4517,0.5,113.0
ZNF70,0.33459999999999995,0.083,0.4971,59.5
IFI16,0.31322,0.1305,0.4857,17.8
AMOT,0.4227600000000001,0.3487,0.4753,123.4
HELLS,0.48235,0.4701,0.4946,195.0
CDC5L,0.43255,0.3706,0.4945,114.0
ZNF610,0.493,0.486,0.5,175.5
KIN,0.49865000000000004,0.4973,0.5,117.5
FOXN3,0.33742,0.1502,0.4837,52.4
CDR2,0.44982500000000003,0.3273,0.4973,68.5
ZNF880,0.31577500000000003,0.0305,0.491,91.25
ZNF544,0.5,0.5,0.5,100.5
SMAD9,0.4507,0.3553,0.4946,94.0
DSP,0.42444,0.3653,0.4887,58.0
NFIB,0.472,0.4182,0.5,133.75
LRRFIP2,0.45846666666666663,0.4291,0.5,130.66666666666666
PRKCZ,0.45030000000000003,0.4098,0.4908,115.5
MYCN,0.429,0.3719,0.4861,101.0
ZNF709,0.4502,0.4385,0.4736,145.0
ZNF717,0.34145,0.2593,0.4236,32.0
EGR2,0.4639,0.4348,0.493,127.5
RRP8,0.32393333333333335,0.2678,0.3915,85.0
SIN3A,0.41969999999999996,0.3449,0.4945,115.5
CC2D1B,0.37579999999999997,0.3125,0.4876,83.0
ZIM2,0.46099999999999997,0.4279,0.4941,95.0
SKOR2,0.323775,0.055,0.4933,102.75
RGCC,0.4879,0.4785,0.4973,109.5
ZNF443,0.438,0.4083,0.4677,95.0
CRABP2,0.41655,0.39,0.4431,125.5
PIR,0.4573,0.4377,0.4769,119.5
ZSCAN4,0.31725,0.2463,0.3882,96.5
XPO1,0.25635,0.0154,0.4973,108.0
HOXA13,0.49865000000000004,0.4973,0.5,90.0
CEBPB,0.35324,0.103,0.4731,43.8
PDPK1,0.38628,0.2721,0.4837,78.0
HDAC6,0.38217499999999993,0.1966,0.4828,62.5
CHAMP1,0.3006,0.0916,0.4717,59.75
KDM8,0.4261,0.368,0.4892,125.0
GRIP1,0.48655000000000004,0.4731,0.5,121.5
MIXL1,0.41955,0.4182,0.4209,129.0
GTF2B,0.35756666666666664,0.2301,0.4437,83.33333333333333
ZNF354A,0.40555,0.342,0.4691,126.0
SORBS2,0.36824999999999997,0.3428,0.3937,157.0
HIP1,0.4194,0.3428,0.496,122.5
MED15,0.5,0.5,0.5,127.5
ATXN3,0.4679,0.4177,0.4973,177.0
MBNL2,0.43815000000000004,0.387,0.4893,127.5
ZNF230,0.45446,0.4169,0.5,136.4
WT1,0.38421999999999995,0.2235,0.4849,120.6
MMS19,0.43694999999999995,0.3848,0.4891,122.5
TWIST2,0.48765000000000003,0.4753,0.5,105.5
PKD1,0.3532333333333333,0.2278,0.48,82.0
MATR3,0.4699,0.4398,0.5,112.0
ZNF525,0.40825,0.3908,0.4257,182.5
CRYM,0.41235,0.3876,0.4371,130.0
NAIF1,0.40625,0.3889,0.4236,121.0
ZNF486,0.292275,0.0338,0.4769,79.5
TSC22D4,0.3931,0.2682,0.5,144.66666666666666
HCFC1,0.32154,0.1236,0.4717,54.2
CSRNP3,0.46035000000000004,0.4234,0.4973,122.0
RTRAF,0.43715000000000004,0.377,0.4973,115.5
MBD5,0.292325,0.0138,0.4726,66.5
NFRKB,0.44343333333333335,0.4287,0.4649,95.33333333333333
NKX2-2,0.42205,0.3848,0.4593,121.5
ZNF671,0.36192499999999994,0.0915,0.493,108.0
MAP3K10,0.49795,0.4973,0.4986,109.5
HMG20B,0.44665,0.417,0.4763,109.5
CRTC2,0.4959,0.4932,0.4986,114.5
NR5A1,0.4437,0.3915,0.4959,115.5
MYOCD,0.344675,0.1463,0.4677,66.0
ZNF581,0.3845,0.2937,0.4753,102.0
RREB1,0.37298,0.1277,0.4971,67.0
KHDRBS3,0.48455000000000004,0.4718,0.4973,128.5
GCFC2,0.46335,0.4392,0.4875,117.5
PAX5,0.3813333333333333,0.3692,0.39,117.33333333333333
TBX18,0.41653333333333337,0.348,0.4508,77.66666666666667
CDKN1C,0.36446666666666666,0.2062,0.4538,124.33333333333333
PHF10,0.4767,0.4589,0.4945,158.5
ZNF768,0.29312499999999997,0.0158,0.4902,67.5
ZNF776,0.48615,0.4806,0.4917,154.5
UBC,0.2642,0.0517,0.4459,12.4
MBTD1,0.42395,0.352,0.4959,116.5
ZNF845,0.5,0.5,0.5,121.0
TCF3,0.37320000000000003,0.2543,0.4973,113.0
RBX1,0.41285,0.3339,0.4918,114.5
BRMS1L,0.43325,0.3692,0.4973,115.5
AEBP1,0.4837,0.4756,0.4918,119.5
MIER3,0.4438,0.3944,0.4932,117.0
MYF5,0.39525,0.39,0.4005,128.0
ZMYM6,0.26246,0.0162,0.5,44.0
SMYD2,0.48924999999999996,0.4785,0.5,127.5
ZNF337,0.2621,0.0943,0.4084,24.0
MRRF,0.43655,0.4067,0.4946,105.75
ZNF329,0.4113,0.3822,0.4404,110.0
CDK1,0.49865000000000004,0.4973,0.5,153.0
BTBD6,0.4751,0.4382,0.4974,150.0
FGF2,0.36813333333333337,0.2158,0.4987,124.33333333333333
SOX5,0.46585,0.4357,0.496,128.5
SLC25A2,0.327575,0.1521,0.4944,62.5
ZNF566,0.47000000000000003,0.424,0.4943,98.25
PARP10,0.33404,0.1585,0.4613,45.2
FOXL1,0.30715000000000003,0.2217,0.3926,109.5
MEF2A,0.408125,0.3882,0.4268,76.75
PRKAA1,0.4075,0.3882,0.4268,135.0
SCAND1,0.2893,0.1695,0.4091,113.5
KLF6,0.383,0.1599,0.4986,114.6
ZNF791,0.49335,0.4867,0.5,152.5
RNF187,0.30566666666666664,0.1053,0.4861,67.33333333333333
ZRANB2,0.39790000000000003,0.316,0.4798,121.5
USP34,0.4699,0.4453,0.4945,123.0
DNAJC21,0.4054,0.3989,0.4119,156.5
SEMA4A,0.46026666666666666,0.4377,0.4973,86.33333333333333
PER3,0.35319999999999996,0.1599,0.4539,86.0
PCSK4,0.31584999999999996,0.2178,0.4139,108.0
RORB,0.4879,0.4785,0.4973,118.5
CRK,0.48745,0.4763,0.4986,115.5
YY2,0.4718,0.4463,0.4973,111.0
NFX1,0.4289,0.3634,0.4944,113.0
PGBD1,0.299,0.1733,0.4034,72.0
FUBP1,0.39485,0.2925,0.4972,115.5
CNOT6,0.41205,0.3323,0.4918,112.5
ZNF273,0.3172,0.0366,0.4913,67.25
IQCN,0.3983666666666667,0.3867,0.4101,103.66666666666667
LIN9,0.4675,0.4377,0.4973,139.5
ZBTB25,0.45516666666666666,0.417,0.4805,84.0
BCL11B,0.3204,0.2347,0.4061,106.5
GLI3,0.31075,0.1624,0.3859,64.0
ELL3,0.354375,0.1579,0.4986,69.0
TP53,0.4615600000000001,0.3654,0.5,99.8
VPS72,0.4248,0.3551,0.4945,114.5
ADNP2,0.35568,0.1509,0.482,52.2
CREB3L3,0.30342,0.1285,0.475,52.4
PHB,0.4662,0.4357,0.5,70.4
POU2AF1,0.319875,0.2268,0.4217,68.0
ZKSCAN2,0.290875,0.0154,0.4825,58.5
RFX3,0.41190000000000004,0.3743,0.4495,138.0
ADRB2,0.3972,0.3273,0.4671,119.5
DNAJC2,0.39705,0.3023,0.4918,116.5
DVL3,0.5,0.5,0.5,126.0
TRMT1L,0.32078,0.1922,0.4973,53.6
ZNF461,0.47112,0.3967,0.5,102.8
AKAP9,0.4016,0.3619,0.4413,121.5
PLK3,0.4603,0.4351,0.4973,80.66666666666667
ERG,0.35994000000000004,0.2015,0.5,88.4
GPBP1,0.42447500000000005,0.3439,0.4973,147.5
STAT1,0.4427666666666666,0.4357,0.4463,139.0
MAPK12,0.47695,0.4566,0.4973,118.0
LEUTX,0.3428,0.2455,0.4401,94.0
EGLN2,0.30979999999999996,0.2171,0.4092,68.0
ZNF696,0.363,0.2896,0.5,51.0
HHEX,0.2948,0.1607,0.4015,60.25
PYGO1,0.35960000000000003,0.2994,0.4198,149.0
ZNF688,0.4221000000000001,0.4002,0.4358,134.0
ZNF735,0.35735000000000006,0.2879,0.5,75.75
ZNF444,0.41800000000000004,0.3937,0.4423,90.0
HMX2,0.3951,0.2957,0.4945,104.5
TCF21,0.3543,0.34,0.3686,122.5
ZFP62,0.21645,0.0115,0.4323,72.75
CCAR1,0.47265,0.448,0.4973,116.0
GTF2F1,0.33749999999999997,0.2297,0.4453,114.0
NOC3L,0.46455,0.4291,0.5,113.5
SIRT7,0.4748,0.4511,0.4985,115.5
PHOX2B,0.49865000000000004,0.4973,0.5,95.5
SOX18,0.2984,0.2335,0.3633,97.0
CDX1,0.43525,0.3872,0.4833,113.5
ZNF823,0.47879999999999995,0.4447,0.5,133.33333333333334
ZNF710,0.4456,0.3939,0.4973,109.0
NELFA,0.32689999999999997,0.1163,0.4785,77.66666666666667
DR1,0.346725,0.1818,0.4777,66.25
